CustomerID,subscription_id,StartDate,EndDate,Status
1,SUB0001,1/31/2022,,Yes
2,SUB0002,2/28/2022,11/21/2024,No
3,SUB0003,3/31/2022,,Yes
4,SUB0004,4/30/2022,11/21/2024,No
5,SUB0005,5/31/2022,,Yes
6,SUB0006,6/30/2022,11/21/2024,No
7,SUB0007,7/31/2022,,Yes
8,SUB0008,8/31/2022,11/21/2024,No
9,SUB0009,9/30/2022,,Yes
10,SUB0010,10/31/2022,11/21/2024,No
11,SUB0011,11/30/2022,,Yes
12,SUB0012,12/31/2022,11/21/2024,No
13,SUB0013,1/31/2023,,Yes
14,SUB0014,2/28/2023,11/21/2024,No
15,SUB0015,3/31/2023,,Yes
16,SUB0016,4/30/2023,11/21/2024,No
17,SUB0017,5/31/2023,,Yes
18,SUB0018,6/30/2023,11/21/2024,No
19,SUB0019,7/31/2023,,Yes
20,SUB0020,8/31/2023,11/21/2024,No
21,SUB0021,9/30/2023,,Yes
22,SUB0022,10/31/2023,11/21/2024,No
23,SUB0023,11/30/2023,,Yes
24,SUB0024,12/31/2023,11/21/2024,No
25,SUB0025,1/31/2024,,Yes
26,SUB0026,2/29/2024,11/21/2024,No
27,SUB0027,3/31/2024,,Yes
28,SUB0028,4/30/2024,11/21/2024,No
29,SUB0029,5/31/2024,,Yes
30,SUB0030,6/30/2024,11/21/2024,No
31,SUB0031,7/31/2024,,Yes
32,SUB0032,8/31/2024,11/21/2024,No
33,SUB0033,9/30/2024,,Yes
34,SUB0034,10/31/2024,11/21/2024,No
35,SUB0035,11/30/2024,,Yes
36,SUB0036,12/31/2024,11/21/2024,No
37,SUB0037,1/31/2025,,Yes
38,SUB0038,2/28/2025,11/21/2024,No
39,SUB0039,3/31/2025,,Yes
40,SUB0040,4/30/2025,11/21/2024,No
